CUBES;MSS;DSS;MCS;DCS;MSC;DSC;MCC;DCC
0;170;131;310;122;351;152;275;72
1000;102;177;79;123;60;111;85;112
2000;72;180;51;132;15;104;57;113
3000;58;176;39;134;11;112;43;110
4000;47;177;32;128;9;110;33;106
5000;40;167;26;119;6;109;28;100
6000;35;157;21;112;5;101;23;91
7000;31;149;19;111;5;93;20;93
8000;27;152;17;107;5;95;18;60
9000;23;139;14;102;4;93;16;35
10000;21;132;13;96;4;90;14;33
11000;19;122;11;38;4;87;12;32
12000;18;125;10;80;3;85;11;31
13000;16;125;9;37;3;82;10;30
14000;14;122;8;33;3;75;9;55
15000;13;118;8;30;3;63;9;31
16000;13;115;7;70;3;60;8;43
17000;11;110;7;32;2;28;8;24
18000;11;108;6;27;2;25;7;24
19000;10;102;6;70;2;24;7;24
20000;10;92;5;27;2;23;6;41
